scenario,n_positives,base_rate,threshold,expected_value_eur,contacts,successful,wasted,missed,precision
baseline,928,0.11264870114105366,0.09422169721821526,66400.0,1648,622,1026,306,0.3774271844660194
recession,464,0.05968613326472858,0.0815048432924932,30855.0,1557,322,1235,142,0.20680796403339757
