age_band,n,base_rate,mean_predicted,pr_auc,top20pct_contact_rate
under_30,1444,0.14473684210526316,0.149212793378703,0.4831761759315878,0.3185595567867036
30_44,4438,0.09621451104100946,0.09238890204640171,0.4633134716753722,0.1491662911221271
45_59,2172,0.09576427255985268,0.09650459218125941,0.5079348676414731,0.1574585635359116
60_plus,184,0.45652173913043476,0.46737969094768217,0.6518842223759745,1.0
