threshold,contacts,successful,wasted,missed,expected_value_eur,ev_per_contact_eur,precision,recall
0.65,136,108,28,820,12280.0,90.29411764705883,0.7941176470588235,0.11637931034482758
0.66,132,105,27,823,11940.0,90.45454545454545,0.7954545454545454,0.11314655172413793
0.67,127,103,24,825,11725.0,92.32283464566929,0.8110236220472441,0.11099137931034483
0.68,122,99,23,829,11270.0,92.37704918032787,0.8114754098360656,0.10668103448275862
0.6900000000000001,117,95,22,833,10815.0,92.43589743589743,0.811965811965812,0.10237068965517242
0.7000000000000001,112,91,21,837,10360.0,92.5,0.8125,0.0980603448275862
0.7100000000000001,109,88,21,840,10015.0,91.88073394495413,0.8073394495412844,0.09482758620689655
0.72,107,87,20,841,9905.0,92.57009345794393,0.8130841121495327,0.09375
0.73,93,76,17,852,8655.0,93.06451612903226,0.8172043010752689,0.08189655172413793
0.74,93,76,17,852,8655.0,93.06451612903226,0.8172043010752689,0.08189655172413793
0.75,81,67,14,861,7635.0,94.25925925925925,0.8271604938271605,0.07219827586206896
0.76,79,65,14,863,7405.0,93.73417721518987,0.8227848101265823,0.07004310344827586
0.77,74,61,13,867,6950.0,93.91891891891892,0.8243243243243243,0.06573275862068965
0.78,73,60,13,868,6835.0,93.63013698630137,0.821917808219178,0.06465517241379311
0.79,69,56,13,872,6375.0,92.3913043478261,0.8115942028985508,0.0603448275862069
0.8,64,51,13,877,5800.0,90.625,0.796875,0.05495689655172414
0.81,60,49,11,879,5580.0,93.0,0.8166666666666667,0.052801724137931036
0.8200000000000001,59,48,11,880,5465.0,92.62711864406779,0.8135593220338984,0.05172413793103448
0.8300000000000001,52,43,9,885,4900.0,94.23076923076923,0.8269230769230769,0.04633620689655173
0.8400000000000001,43,35,8,893,3985.0,92.67441860465117,0.813953488372093,0.03771551724137931
0.85,39,33,6,895,3765.0,96.53846153846153,0.8461538461538461,0.03556034482758621
0.86,36,30,6,898,3420.0,95.0,0.8333333333333334,0.032327586206896554
0.87,29,25,4,903,2855.0,98.44827586206897,0.8620689655172413,0.02693965517241379
0.88,24,21,3,907,2400.0,100.0,0.875,0.022629310344827586
0.89,18,15,3,913,1710.0,95.0,0.8333333333333334,0.016163793103448277
0.9,8,6,2,922,680.0,85.0,0.75,0.00646551724137931
0.91,6,4,2,924,450.0,75.0,0.6666666666666666,0.004310344827586207
0.92,6,4,2,924,450.0,75.0,0.6666666666666666,0.004310344827586207
0.93,4,4,0,924,460.0,115.0,1.0,0.004310344827586207
0.9400000000000001,3,3,0,925,345.0,115.0,1.0,0.003232758620689655
0.9500000000000001,0,0,0,928,0.0,0.0,0.0,0.0
0.9600000000000001,0,0,0,928,0.0,0.0,0.0,0.0
0.97,0,0,0,928,0.0,0.0,0.0,0.0
0.98,0,0,0,928,0.0,0.0,0.0,0.0
0.99,0,0,0,928,0.0,0.0,0.0,0.0
