,threshold,roc_auc,pr_auc,f1,brier_score,tp,fp,fn,tn,precision,recall
Logistic baseline,0.5,0.8009445463229398,0.4601157259585653,0.4688845401174168,0.16156922500883808,599,1028,329,6282,0.3681622618315919,0.6454741379310345
LightGBM (calibrated),0.5,0.8168893579885844,0.49477580758165873,0.37694704049844235,0.07417202100261475,242,114,686,7196,0.6797752808988764,0.2607758620689655
