education,n,base_rate,mean_predicted,pr_auc,top20pct_contact_rate
basic.4y,854,0.09836065573770492,0.10563506607483907,0.5794492380137433,0.16510538641686182
basic.6y,427,0.07494145199063232,0.08177438000961766,0.38041818616248596,0.12177985948477751
basic.9y,1219,0.08531583264971287,0.07775948697529753,0.344303930335247,0.11320754716981132
high.school,1919,0.11255862428348098,0.10852201998564899,0.5339557835389271,0.19906201146430433
illiterate,2,0.5,0.335314718168079,1.0,0.5
professional.course,1051,0.11607992388201713,0.1088994776448131,0.5198479241119149,0.1950523311132255
university.degree,2432,0.13363486842105263,0.1366709828164035,0.4844575278425173,0.265625
unknown,334,0.1317365269461078,0.13596008968548362,0.6182934696512802,0.24850299401197604
