campaign_tier,n,base_rate,pr_auc
warm_returners,294.0,0.6394557823129252,0.7946273238993399
engaged_cellular,2393.0,0.20601755119097367,0.4626212770066159
cold_cellular,2794.0,0.049749463135289905,0.06079865425102998
cold_telephone,2757.0,0.03917301414581066,0.12197152944655504
