,threshold,roc_auc,pr_auc,f1,brier,tp,fp,fn,tn,precision,recall
Leaky benchmark (with duration),0.5,0.943862623236945,0.6224749638726603,0.6040699750089253,0.09876146082182125,846,1027,82,6283,0.45168179391350777,0.9116379310344828
Deployable baseline (no duration),0.5,0.8009445463229398,0.4601157259585653,0.4688845401174168,0.16156922500883808,599,1028,329,6282,0.3681622618315919,0.6454741379310345
