k,inertia,silhouette
2,394489.19031680265,0.28471340160568737
3,352147.8313817192,0.2772520711841252
4,330871.33612339303,0.1423969800520927
5,313325.1590391274,0.14817421735174072
6,290023.1861644071,0.15481619273543984
7,273376.059426834,0.15880795456537541
8,275005.7244414115,0.1446847314127299
9,253661.673716084,0.15069230872622746
10,242070.3418803524,0.15898470893548666
